angle:184.88   ,   distance:0
angle:185.08   ,   distance:4297
angle:185.36   ,   distance:4367
angle:185.64   ,   distance:4337
angle:186.2   ,   distance:4241
angle:186.48   ,   distance:4238
angle:186.75   ,   distance:4255
angle:187.02   ,   distance:4273
angle:187.58   ,   distance:4239
angle:187.86   ,   distance:4237
angle:188.13   ,   distance:4265
angle:188.41   ,   distance:4282
angle:188.67   ,   distance:4305
angle:188.95   ,   distance:4285
angle:189.08   ,   distance:0
angle:189.23   ,   distance:4277
angle:189.52   ,   distance:4239
angle:189.8   ,   distance:4231
angle:190.08   ,   distance:4210
angle:190.34   ,   distance:4189
angle:190.47   ,   distance:0
angle:190.63   ,   distance:4176
angle:190.91   ,   distance:4163
angle:191.17   ,   distance:4151
angle:191.45   ,   distance:4131
angle:191.73   ,   distance:4119
angle:192.02   ,   distance:4096
angle:192.28   ,   distance:4079
angle:192.56   ,   distance:4068
angle:192.84   ,   distance:4051
angle:193.13   ,   distance:4040
angle:193.41   ,   distance:4022
angle:193.69   ,   distance:4009
angle:193.95   ,   distance:3997
angle:194.23   ,   distance:3986
angle:194.52   ,   distance:3964
angle:194.78   ,   distance:3958
angle:195.06   ,   distance:3951
angle:195.34   ,   distance:3933
angle:195.63   ,   distance:3920
angle:195.92   ,   distance:3906
angle:196.19   ,   distance:3892
angle:196.47   ,   distance:3877
angle:196.75   ,   distance:3863
angle:197.03   ,   distance:3851
angle:197.33   ,   distance:3841
angle:197.61   ,   distance:3831
angle:198.47   ,   distance:3647
angle:198.73   ,   distance:3672
angle:199.02   ,   distance:3703
angle:199.3   ,   distance:3730
angle:199.58   ,   distance:3756
angle:199.86   ,   distance:3784
angle:200.42   ,   distance:3772
angle:200.98   ,   distance:3754
angle:201.11   ,   distance:0
angle:201.39   ,   distance:0
angle:201.53   ,   distance:3760
angle:201.81   ,   distance:3774
angle:202.09   ,   distance:3782
angle:203.22   ,   distance:3834
angle:203.36   ,   distance:0
angle:203.5   ,   distance:3834
angle:203.78   ,   distance:3805
angle:203.91   ,   distance:0
angle:204.06   ,   distance:3792
angle:204.47   ,   distance:0
angle:204.91   ,   distance:3781
angle:205.19   ,   distance:3774
angle:205.59   ,   distance:0
angle:205.88   ,   distance:0
angle:206.03   ,   distance:3763
angle:206.16   ,   distance:0
angle:206.31   ,   distance:3746
angle:207.11   ,   distance:3673
angle:207.55   ,   distance:0
angle:207.69   ,   distance:3448
angle:207.83   ,   distance:0
